1,AAAAA1,loveherbyalissa Mother's Bracelet,loveherbyalissa,First time mother bracelet,26,1,Active,first-time-mother-bracelet.jpg
2,AAAAA2,CJ&M Love Tree Bracelet,CJ&M,Love Tree Bracelet,35,1,Active,love-tree-bracelet.jpg
3,AAAAA3,Pandora Charm Bracelet,Pandora,Iconic Silver Charm Bracelet,86,2,Active,iconic-silver-charm-bracelet.jpg
4,AAAAA4,Talisa Stardust Bracelet,Talisa,Stardust Bracelet,69,2,Active,stardust-bracelet.jpg
5,AAAAA5,Ross Simons Bead Bracelet,Ross Simons,Tri-Colored Sterling Silver Bead Bracelet,96,3,Active,tri-colored-sterling-silver-bead-bracelet.jpg
6,AAAAA6,Alex and Ani Grandmother's Bracelet,Alex and Ani,Love Grandmother Bracelet,56,3,Active,love-grandmother-bracelet.jpg
7,AAAAA7,Etsy Wedding Bracelet,Etsy,Classic Bridal Wedding Bracelet,199,4,Active,classic-bridal-wedding-bracelet.jpg
8,AAAAA8,Lynne Wedding Bracelet,Lynne,CZ Oval Accent Wedding Bracelet,216,4,Active,cz-oval-accent-wedding-bracelet.jpg
9,AAAAA9,Ben Amun Clip-On Earrings,Ben Amun,Cluster Clip-On Earrings,195,5,Active,cluster-clip-on-earrings.jpg
10,AAAAB1,Nadri Clip-On Earrings,Nadri,Round Clip-On Earrings,50,5,Active,round-clip-on-earrings.jpg
11,AAAAB2,Alexis Bittar Drop Earrings,Alexis Bittar,Crystal Cluster Drop Earrings,165,5,Active,crystal-cluster-drop-earrings.jpg
12,AAAAB3,Argento Vivo,Argento Vivo,Linear Circle Drop Earrings in 18K Gold Plated Sterling Silver,88,5,Active,linear-circle-drop-earrings-in-18k-gold-plated-sterling-silver.jpg
13,AAAAB4,PANDORA,PANDORA,Sterling Silver and Cubic Zirconia Dazzling Daisy Meadow Ring,56,8,Active,sterling-silver-and-cubic-zirconia-dazzling-daisy-meadow-ring.jpg
14,AAAAB5,PANDORA,PANDORA,14K Gold Sterling Silver and Cubic Zirconia Entwined Ring,127,8,Active,14k-gold-sterling-silver-cubic-zirconia-entwined-ring.jpg
15,AAAAB6,KC Designs,KC Designs,Rose Gold Tone Sterling Silver Shimmering Wish Ring,41,8,Active,rose-gold-tone-sterling-silver-shimmering-wish-ring.jpg
16,AAAAB7,Bloomingdale's,Bloomingdale's,14K Yellow Gold Love Knot Necklace,250,6,Active,14k-yellow-gold-love-knot-necklace.jpg
17,AAAAB8,Tory Burch Necklace,Tory Burch,Delicate Logo Necklace,98,6,Active,delicate-logo-necklace.jpg
18,AAAAB9,PANDORA Charm Necklace,PANDORA,Sterling Silver Iconic Snake Chain Charm Necklace,90,6,Active,sterling-silver-Iconic-snake-chain-charm-necklace.jpg
19,AAAAC1,TOUS Necklace & Earrings Set,TOUS,Sterling Silver Teddy Bear Necklace and Earrings Set,145,7,Active,sterling-silver-teddy-bear -necklace-and-earrings-set.jpg
20,AAAAC2,PANDORA Collection,PANDORA,Kiss Me Bangle Gift Set Moments Collection,96,7,Active,kiss-me-bangle-gift-set-moments-collection.jpg
21,AAAAC3,Alex and Ani Earrings & Necklace Set,Alex and Ani,Cubic Zirconia Rainbow Earrings and Necklace Set,145,7,Active,cubic-zirconia-rainbow-earrings-and-necklace-set.jpg
